0 020000fbff06050108d907041e060014001300
1 0200017a010000efc1b21e00170060020000ad
2 02000251b22800100008030000adf1b2fcff01
3 0200032300fefffbff06050108d907042d1d00
4 0200040f41920f41920f41920f41920f41920f
5 02000531920f41920f41920f41920f31920f31
6 020006920f41920f41920f41920f41920f4192
7 0200070f41920f31920f31920f41920f319200
8 020008fefffbff06050108d907042f2d00feff
9 020009fbff06050108d907042f3000fefffbff
10 02000a06050108d907042f39000f519200feff
11 02000bfbff06050108d90704333000fcff0123
12 02000cfeffffffffffffffffffffffffffffff
01.08.2009,04:30:06,0,0.1,1024
01.08.2009,04:30:11,0,30.4,122
01.08.2009,04:30:16,0,1.6,0
01.08.2009,04:30:21,0,383.6,434
01.08.2009,04:30:26,0,48.0,23
01.08.2009,04:30:31,0,0.6,2
01.08.2009,04:30:36,0,0.0,173
01.08.2009,04:30:41,0,130.7,552
01.08.2009,04:30:46,0,0.1,0
01.08.2009,04:30:51,0,12.8,768
01.08.2009,04:30:56,0,1.0,3569
01.08.2009,04:31:01,0,286.3,3327
01.08.2009,04:31:06,0,1.8,768
01.08.2009,04:45:29,0,0.0,3905
01.08.2009,04:45:34,0,233.6,3905
01.08.2009,04:45:39,0,233.6,3905
01.08.2009,04:45:44,0,233.6,3905
01.08.2009,04:45:49,0,233.6,3905
01.08.2009,04:45:54,0,233.6,3889
01.08.2009,04:45:59,0,233.6,3905
01.08.2009,04:46:04,0,233.6,3905
01.08.2009,04:46:09,0,233.6,3905
01.08.2009,04:46:14,0,233.6,3889
01.08.2009,04:46:19,0,233.6,3889
01.08.2009,04:46:24,0,233.6,3905
01.08.2009,04:46:29,0,233.6,3905
01.08.2009,04:46:34,0,233.6,3905
01.08.2009,04:46:39,0,233.6,3905
01.08.2009,04:46:44,0,233.6,3905
01.08.2009,04:46:49,0,233.6,3905
01.08.2009,04:46:54,0,233.6,3889
01.08.2009,04:46:59,0,233.6,3889
01.08.2009,04:47:04,0,233.6,3905
01.08.2009,04:47:09,0,233.6,3889
01.08.2009,04:47:14,0,233.6,254
01.08.2009,04:47:19,0,409.5,3071
01.08.2009,04:47:24,0,9.6,1281
01.08.2009,04:47:29,0,14.1,2311
01.08.2009,04:47:34,0,6.6,3885
01.08.2009,04:47:57,0,0.0,3921
01.08.2009,04:48:02,0,233.6,254
01.08.2009,04:48:07,0,409.5,3071
01.08.2009,04:48:12,0,9.6,1281
01.08.2009,04:48:17,0,14.1,2311
01.08.2009,04:48:22,0,6.7,816
01.08.2009,04:48:27,0,1.5,3327
01.08.2009,04:48:32,0,1.8,1022
01.08.2009,04:48:37,0,409.5,4095
01.08.2009,04:48:42,0,409.5,4095
01.08.2009,04:48:47,0,409.5,4095
01.08.2009,04:48:52,0,409.5,4095
01.08.2009,04:48:57,0,409.5,4095
01.08.2009,04:49:02,0,0.0,0
